@id;building;name;@lat;@lon
100831520;residential;;51.0745046;17.0817724
100831555;residential;;51.0790276;17.0595753
100831714;residential;;51.0759455;17.0387635
100831734;residential;;51.0730633;16.9721157
100831742;residential;;51.0741466;17.0827192
100831879;residential;;51.0789970;16.9695175
100832388;residential;;51.0744137;17.0826562
100832479;residential;;51.0708045;17.0336055
100832573;residential;;51.0746815;17.0461855
100832721;residential;;51.0708405;17.0339905
100833343;residential;;51.0749199;17.0840660
100833509;residential;;51.0750505;17.0462010
100833617;residential;;51.0746540;17.0467665
100833826;residential;;51.0751578;17.0840187
100833867;residential;;51.0758990;17.0823627
100833945;residential;;51.0702005;17.0362310
100834033;residential;;51.0776690;16.9644640
100834034;residential;;51.0725287;16.9964551
100834226;residential;;51.0750386;17.0840425
100834232;residential;;51.0708070;17.0343400
100834241;residential;;51.0752755;17.0449450
100834268;residential;;51.0794201;17.0593006
100834286;residential;;51.0753991;17.0824406
100834523;residential;;51.0730131;17.0844541
100834555;residential;;51.0729080;17.0267290
100834591;residential;;51.0759025;17.0455310
100834698;residential;;51.0752753;17.0839955
100834726;residential;;51.0758915;17.0464140
100834737;residential;;51.0748162;17.0816507
100834847;residential;;51.0723969;16.9963706
100835115;residential;;51.0789776;17.0596071
100835208;residential;;51.0724857;16.9964272
100835345;residential;;51.0735565;17.0270310
100835417;residential;;51.0746570;17.0825867
100835587;residential;;51.0707930;17.0349005
100835979;residential;;51.0741377;17.0829445
100836192;residential;;51.0700909;17.0915474
100836229;residential;;51.0748026;17.0840890
100836271;residential;;51.0784240;17.0913578
100836286;residential;;51.0733823;17.0825764
100836456;residential;;51.0755700;17.0382265
100836484;residential;;51.0724412;16.9963985
100836564;residential;;51.0711161;17.0904212
100836600;residential;;51.0738520;17.0842759
100836631;residential;;51.0789662;17.0171306
100836658;residential;;51.0748720;17.0467900
100836821;residential;;51.0738929;17.0456921
100836996;residential;;51.0760173;17.0823403
100837045;residential;;51.0756236;17.0839263
100837145;residential;;51.0788593;16.9719485
100837397;residential;;51.0791531;17.0594968
100837515;residential;;51.0733555;17.0269190
100837679;residential;;51.0765636;17.0919899
100837701;residential;;51.0746750;17.0841029
100837927;residential;;51.0737355;17.0842998
100837986;residential;;51.0734974;17.0843468
100839073;residential;;51.0708070;17.0357350
100839119;residential;;51.0725727;16.9964828
100839401;residential;;51.0788274;17.0597012
100839510;residential;;51.0764319;17.0366466
100839675;residential;;51.0744715;17.0444800
100839868;residential;;51.0736125;17.0823764
100840172;residential;;51.0705865;17.0357160
100840407;residential;;51.0758895;17.0465130
100840489;residential;;51.0759000;17.0458735
100841024;residential;;51.0708295;17.0897166
100841025;residential;;51.0736162;17.0843228
100841189;residential;;51.0708980;17.0141208
100841233;residential;;51.0745342;17.0841306
100841237;residential;;51.0793280;17.0593846
100841511;residential;;51.0750935;17.0449235
100841540;residential;;51.0748590;17.0358255
100841549;residential;;51.0751477;17.0815920
100841654;residential;;51.0712683;17.0002895
100841776;residential;;51.0733815;17.0843696
100842021;residential;;51.0722970;16.9755585
100842075;residential;;51.0742286;17.0842424
100842210;residential;;51.0747849;17.0825830
100842214;residential;;51.0755271;17.0824362
100842512;residential;;51.0743443;17.0818271
100842992;residential;;51.0742591;17.0844927
100843095;residential;;51.0764685;17.0361863
100843127;residential;;51.0742216;16.9695758
100843902;residential;;51.0742667;17.0818847
100843943;residential;;51.0731700;17.0328794
100843968;residential;;51.0792782;17.0594163
100844514;residential;;51.0751557;17.0825096
100845091;residential;;51.0708757;17.0898324
100845219;residential;;51.0707835;17.0339840
100845270;residential;;51.0750280;17.0825138
100845306;residential;;51.0745309;17.0826275
100845322;residential;;51.0752729;17.0824868
100845328;residential;;51.0706810;16.9826565
100845418;residential;;51.0787756;17.0597336
100845599;residential;;51.0738357;17.0821897
100845834;residential;;51.0757705;17.0823667
100845922;residential;;51.0799358;16.9713652
100846476;residential;;51.0703880;16.9827220
100914024;residential;;51.0957882;16.9610699
100914169;residential;;51.0895335;16.9849355
100914192;residential;;51.0979600;17.1539740
100914196;residential;;51.0902630;17.0217030
100914246;residential;;51.0911108;16.9866987
100914512;residential;Pałac Hollenderów;51.0925514;17.0812837
100914787;residential;;51.0981230;17.1568045
100914834;residential;;51.0983514;16.9435143
100914958;residential;;51.0894165;16.9865730
100915012;residential;;51.0900455;16.9885900
100915271;residential;;51.0979995;16.9592230
100915319;residential;;51.0907435;16.9859870
100915358;residential;;51.0866570;16.9982820
100915416;residential;;51.0824095;17.0521975
100915709;residential;;51.0895795;16.9866405
100915746;residential;;51.0897140;16.9878575
100915824;residential;;51.0849500;17.0168950
100915874;residential;;51.0833755;16.9991660
